ActivitySiteID,ActivityDescription,BookingEndDate,BookingStartTime,MaxBookees,Number Booked,Price (INR),Month,Day,Hour,TimeSlot,Occupancy Rate,Revenue
BRP,Strokeskills 7.15-8.15pm,15-06-18,01-01-00 19:15,10,3,2999,June,Friday,19,Evening,30,8997
BRP,Strokeskills 7.15-8.15pm,22-06-18,01-01-00 19:15,10,2,2999,June,Friday,19,Evening,20,5998
BRP,Strokeskills 7.15-8.15pm,29-06-18,01-01-00 19:15,10,3,2999,June,Friday,19,Evening,30,8997
BRP,Strokeskills 7pm -8pm,06-06-18,01-01-00 19:00,10,10,2999,June,Wednesday,19,Evening,100,29990
BRP,Strokeskills 7pm -8pm,13-06-18,01-01-00 19:00,10,9,2999,June,Wednesday,19,Evening,90,26991
BRP,Strokeskills 7pm -8pm,20-06-18,01-01-00 19:00,10,10,2999,June,Wednesday,19,Evening,100,29990
BRP,Strokeskills 7pm -8pm,27-06-18,01-01-00 19:00,10,9,2999,June,Wednesday,19,Evening,90,26991
BRP,Swimfit 7am-8am,05-06-18,01-01-00 7:00,15,5,1499,June,Tuesday,7,Morning,33.33333333,7495
BRP,Swimfit 7am-8am,12-06-18,01-01-00 7:00,15,9,1499,June,Tuesday,7,Morning,60,13491
BRP,Swimfit 7am-8am,19-06-18,01-01-00 7:00,15,7,1499,June,Tuesday,7,Morning,46.66666667,10493
BRP,Swimfit 7am-8am,26-06-18,01-01-00 7:00,15,6,1499,June,Tuesday,7,Morning,40,8994
BRP,Swimfit  8pm - 9pm,06-06-18,01-01-00 20:00,10,9,1499,June,Wednesday,20,Evening,90,13491
BRP,Swimfit  8pm - 9pm,13-06-18,01-01-00 20:00,10,7,1499,June,Wednesday,20,Evening,70,10493
BRP,Swimfit  8pm - 9pm,20-06-18,01-01-00 20:00,10,10,1499,June,Wednesday,20,Evening,100,14990
BRP,Swimfit  8pm - 9pm,27-06-18,01-01-00 20:00,10,10,1499,June,Wednesday,20,Evening,100,14990
BRP,Yogalates  6.30-7.30pm,13-06-18,01-01-00 18:30,35,27,2999,June,Wednesday,18,Evening,77.14285714,80973
BRP,Yogalates  6.30-7.30pm,20-06-18,01-01-00 18:30,35,17,2999,June,Wednesday,18,Evening,48.57142857,50983
BRP,Yogalates  6.30-7.30pm,27-06-18,01-01-00 18:30,35,18,2999,June,Wednesday,18,Evening,51.42857143,53982
BRP,Yogalates 7.00-8.00pm,07-06-18,01-01-00 19:00,35,28,2999,June,Thursday,19,Evening,80,83972
BRP,Yogalates 7.00-8.00pm,14-06-18,01-01-00 19:00,35,33,2999,June,Thursday,19,Evening,94.28571429,98967
BRP,Yogalates 7.00-8.00pm,21-06-18,01-01-00 19:00,35,24,2999,June,Thursday,19,Evening,68.57142857,71976
BRP,Yogalates 7.00-8.00pm,28-06-18,01-01-00 19:00,35,24,2999,June,Thursday,19,Evening,68.57142857,71976
BRP,Yogalates 10.30am,01-06-18,01-01-00 10:30,35,18,2999,June,Friday,10,Morning,51.42857143,53982
BRP,Yogalates 10.30am,08-06-18,01-01-00 10:30,35,17,2999,June,Friday,10,Morning,48.57142857,50983
BRP,Yogalates 10.30am,15-06-18,01-01-00 10:30,35,20,2999,June,Friday,10,Morning,57.14285714,59980
BRP,Yogalates 10.30am,22-06-18,01-01-00 10:30,35,20,2999,June,Friday,10,Morning,57.14285714,59980
BRP,Yogalates 10.30am,29-06-18,01-01-00 10:30,35,19,2999,June,Friday,10,Morning,54.28571429,56981
BRP,Yogalates 11.00-12.00,07-06-18,01-01-00 11:00,35,13,2999,June,Thursday,11,Morning,37.14285714,38987
BRP,Yogalates 11.00-12.00,14-06-18,01-01-00 11:00,35,11,2999,June,Thursday,11,Morning,31.42857143,32989
BRP,Yogalates 11.00-12.00,21-06-18,01-01-00 11:00,35,16,2999,June,Thursday,11,Morning,45.71428571,47984
BRP,Yogalates 11.00-12.00,28-06-18,01-01-00 11:00,35,16,2999,June,Thursday,11,Morning,45.71428571,47984
BRP,Zumba,05-06-18,01-01-00 17:30,35,28,1299,June,Tuesday,17,Evening,80,36372
BRP,Zumba,12-06-18,01-01-00 17:30,35,20,1299,June,Tuesday,17,Evening,57.14285714,25980
BRP,Zumba,19-06-18,01-01-00 17:30,35,20,1299,June,Tuesday,17,Evening,57.14285714,25980
BRP,Zumba,26-06-18,01-01-00 17:30,35,18,1299,June,Tuesday,17,Evening,51.42857143,23382
BRP,Zumba 12.45-1.45pm,06-06-18,01-01-00 12:45,35,16,1299,June,Wednesday,12,Afternoon,45.71428571,20784
BRP,Zumba 12.45-1.45pm,13-06-18,01-01-00 12:45,35,14,1299,June,Wednesday,12,Afternoon,40,18186
BRP,Zumba 12.45-1.45pm,20-06-18,01-01-00 12:45,35,10,1299,June,Wednesday,12,Afternoon,28.57142857,12990
BRP,Zumba 12.45-1.45pm,27-06-18,01-01-00 12:45,35,13,1299,June,Wednesday,12,Afternoon,37.14285714,16887
HXP,Aqua Fit 4pm - 5pm,10-06-18,01-01-00 16:00,25,15,999,June,Sunday,16,Afternoon,60,14985
HXP,Aqua Fit 4pm - 5pm,17-06-18,01-01-00 16:00,25,13,999,June,Sunday,16,Afternoon,52,12987
HXP,Aqua Fit 4pm - 5pm,24-06-18,01-01-00 16:00,25,18,999,June,Sunday,16,Afternoon,72,17982
HXP,Aqua Fit 12.15 -13.15,01-06-18,01-01-00 12:15,25,14,999,June,Friday,12,Afternoon,56,13986
HXP,Aqua Fit 12.15 -13.15,07-06-18,01-01-00 12:15,25,14,999,June,Thursday,12,Afternoon,56,13986
HXP,Aqua Fit 12.15 -13.15,08-06-18,01-01-00 12:15,25,15,999,June,Friday,12,Afternoon,60,14985
HXP,Aqua Fit 12.15 -13.15,14-06-18,01-01-00 12:15,25,19,999,June,Thursday,12,Afternoon,76,18981
HXP,Aqua Fit 12.15 -13.15,15-06-18,01-01-00 12:15,25,15,999,June,Friday,12,Afternoon,60,14985
HXP,Aqua Fit 12.15 -13.15,21-06-18,01-01-00 12:15,25,17,999,June,Thursday,12,Afternoon,68,16983
HXP,Aqua Fit 12.15 -13.15,22-06-18,01-01-00 12:15,25,16,999,June,Friday,12,Afternoon,64,15984
HXP,Aqua Fit 12.15 -13.15,28-06-18,01-01-00 12:15,25,17,999,June,Thursday,12,Afternoon,68,16983
HXP,Aqua Fit 12.15 -13.15,29-06-18,01-01-00 12:15,25,11,999,June,Friday,12,Afternoon,44,10989
HXP,Aqua Fit 12.15-13.00,04-06-18,01-01-00 12:15,25,8,999,June,Monday,12,Afternoon,32,7992
HXP,Aqua Fit 12.15-13.00,11-06-18,01-01-00 12:15,25,13,999,June,Monday,12,Afternoon,52,12987
HXP,Aqua Fit 12.15-13.00,18-06-18,01-01-00 12:15,25,18,999,June,Monday,12,Afternoon,72,17982
HXP,Aqua Fit 12.15-13.00,25-06-18,01-01-00 12:15,25,16,999,June,Monday,12,Afternoon,64,15984
HXP,Aquafit 7.00-8.00pm,05-06-18,01-01-00 19:00,20,15,999,June,Tuesday,19,Evening,75,14985
HXP,Aquafit 7.00-8.00pm,12-06-18,01-01-00 19:00,20,17,999,June,Tuesday,19,Evening,85,16983
HXP,Aquafit 7.00-8.00pm,19-06-18,01-01-00 19:00,20,16,999,June,Tuesday,19,Evening,80,15984
HXP,Aquafit 7.00-8.00pm,26-06-18,01-01-00 19:00,20,20,999,June,Tuesday,19,Evening,100,19980
HXP,Body Con   2.45pm-3.45pm,03-06-18,01-01-00 14:45,25,3,1299,June,Sunday,14,Afternoon,12,3897
HXP,Body Con   2.45pm-3.45pm,10-06-18,01-01-00 14:45,25,9,1299,June,Sunday,14,Afternoon,36,11691
HXP,Body Con   2.45pm-3.45pm,17-06-18,01-01-00 14:45,25,7,1299,June,Sunday,14,Afternoon,28,9093
HXP,Body Con   2.45pm-3.45pm,24-06-18,01-01-00 14:45,25,10,1299,June,Sunday,14,Afternoon,40,12990
HXP,Body Con   11am -12noon,02-06-18,01-01-00 11:00,25,12,1299,June,Saturday,11,Morning,48,15588
HXP,Body Con   11am -12noon,09-06-18,01-01-00 11:00,25,11,1299,June,Saturday,11,Morning,44,14289
HXP,Body Con   11am -12noon,16-06-18,01-01-00 11:00,25,10,1299,June,Saturday,11,Morning,40,12990
HXP,Body Con   11am -12noon,23-06-18,01-01-00 11:00,25,13,1299,June,Saturday,11,Morning,52,16887
HXP,Body Con   11am -12noon,30-06-18,01-01-00 11:00,25,6,1299,June,Saturday,11,Morning,24,7794
HXP,Body Cond 3.50pm - 4.50pm,03-06-18,01-01-00 15:50,25,2,1299,June,Sunday,15,Afternoon,8,2598
HXP,Body Cond 3.50pm - 4.50pm,10-06-18,01-01-00 15:50,25,7,1299,June,Sunday,15,Afternoon,28,9093
HXP,Body Cond 3.50pm - 4.50pm,17-06-18,01-01-00 15:50,25,4,1299,June,Sunday,15,Afternoon,16,5196
HXP,Body Cond 3.50pm - 4.50pm,24-06-18,01-01-00 15:50,25,7,1299,June,Sunday,15,Afternoon,28,9093
HXP,Body Cond 7.30-8.30pm,04-06-18,01-01-00 19:30,25,28,1299,June,Monday,19,Evening,112,36372
HXP,Body Cond 7.30-8.30pm,06-06-18,01-01-00 19:30,25,23,1299,June,Wednesday,19,Evening,92,29877
HXP,Body Cond 7.30-8.30pm,11-06-18,01-01-00 19:30,25,23,1299,June,Monday,19,Evening,92,29877
HXP,Body Cond 7.30-8.30pm,13-06-18,01-01-00 19:30,25,23,1299,June,Wednesday,19,Evening,92,29877
HXP,Body Cond 7.30-8.30pm,18-06-18,01-01-00 19:30,25,25,1299,June,Monday,19,Evening,100,32475
HXP,Body Cond 7.30-8.30pm,20-06-18,01-01-00 19:30,25,22,1299,June,Wednesday,19,Evening,88,28578
HXP,Body Cond 7.30-8.30pm,25-06-18,01-01-00 19:30,25,17,1299,June,Monday,19,Evening,68,22083
HXP,Body Cond 7.30-8.30pm,27-06-18,01-01-00 19:30,25,17,1299,June,Wednesday,19,Evening,68,22083
HXP,Body Cond 12.00 - 1.00pm,01-06-18,01-01-00 12:00,25,21,1299,June,Friday,12,Afternoon,84,27279
HXP,Body Cond 12.00 - 1.00pm,08-06-18,01-01-00 12:00,25,18,1299,June,Friday,12,Afternoon,72,23382
HXP,Body Cond 12.00 - 1.00pm,15-06-18,01-01-00 12:00,25,17,1299,June,Friday,12,Afternoon,68,22083
HXP,Body Cond 12.00 - 1.00pm,22-06-18,01-01-00 12:00,25,24,1299,June,Friday,12,Afternoon,96,31176
HXP,Body Cond 12.00 - 1.00pm,29-06-18,01-01-00 12:00,25,16,1299,June,Friday,12,Afternoon,64,20784
HXP,Body Condition 10 -11am,05-06-18,01-01-00 10:00,25,22,1299,June,Tuesday,10,Morning,88,28578
HXP,Body Condition 10 -11am,12-06-18,01-01-00 10:00,25,19,1299,June,Tuesday,10,Morning,76,24681
HXP,Body Condition 10 -11am,19-06-18,01-01-00 10:00,25,24,1299,June,Tuesday,10,Morning,96,31176
HXP,Body Condition 10 -11am,26-06-18,01-01-00 10:00,25,23,1299,June,Tuesday,10,Morning,92,29877
HXP,Body Conditioning 10-11am,06-06-18,01-01-00 10:00,25,12,1299,June,Wednesday,10,Morning,48,15588
HXP,Body Conditioning 10-11am,13-06-18,01-01-00 10:00,25,15,1299,June,Wednesday,10,Morning,60,19485
HXP,Body Conditioning 10-11am,20-06-18,01-01-00 10:00,25,14,1299,June,Wednesday,10,Morning,56,18186
HXP,Body Conditioning 10-11am,27-06-18,01-01-00 10:00,25,9,1299,June,Wednesday,10,Morning,36,11691
HXP,Bodycondition 12.30-13.30,05-06-18,01-01-00 12:30,25,7,1299,June,Tuesday,12,Afternoon,28,9093
HXP,Bodycondition 12.30-13.30,12-06-18,01-01-00 12:30,25,6,1299,June,Tuesday,12,Afternoon,24,7794
HXP,Bodycondition 12.30-13.30,19-06-18,01-01-00 12:30,25,14,1299,June,Tuesday,12,Afternoon,56,18186
HXP,Bodycondition 12.30-13.30,26-06-18,01-01-00 12:30,25,10,1299,June,Tuesday,12,Afternoon,40,12990
